Step,Epsilon_2,p,q,specificVoid
1,0.0001,504.336,13.1453,1.9599
2,0.0002,508.138,24.6086,1.95979
3,0.0003,511.568,34.9119,1.95968
4,0.0004,514.719,44.3521,1.95958
5,0.0005,517.65,53.1193,1.95947
6,0.0006,520.393,61.3529,1.95937
7,0.0007,522.985,69.1331,1.95926
8,0.0008,525.446,76.5288,1.95916
9,0.0009,527.8,83.5913,1.95905
10,0.001,530.055,90.3633,1.95895
11,0.0011,532.226,96.8777,1.95884
12,0.0012,534.319,103.162,1.95874
13,0.0013,536.333,109.241,1.95864
14,0.0014,538.288,115.132,1.95853
15,0.0015,540.184,120.851,1.95843
16,0.0016,542.035,126.413,1.95833
17,0.0017,543.831,131.83,1.95823
18,0.0018,545.586,137.113,1.95813
19,0.0019,547.304,142.271,1.95803
20,0.002,548.982,147.313,1.95793
21,0.0021,550.619,152.247,1.95783
22,0.0022,552.223,157.078,1.95773
23,0.0023,553.784,161.812,1.95763
24,0.0024,555.324,166.456,1.95753
25,0.0025,556.837,171.015,1.95743
26,0.0026,558.319,175.492,1.95733
27,0.0027,559.766,179.891,1.95723
28,0.0028,561.203,184.218,1.95714
29,0.0029,562.614,188.474,1.95704
30,0.003,564.002,192.664,1.95694
31,0.0031,565.363,196.789,1.95685
32,0.0032,566.711,200.854,1.95675
33,0.0033,568.041,204.86,1.95666
34,0.0034,569.341,208.809,1.95656
35,0.0035,570.624,212.703,1.95647
36,0.0036,571.883,216.544,1.95637
37,0.0037,573.13,220.336,1.95628
38,0.0038,574.36,224.08,1.95619
39,0.0039,575.585,227.778,1.95609
40,0.004,576.797,231.432,1.956
41,0.0041,577.987,235.041,1.95591
42,0.0042,579.169,238.609,1.95582
43,0.0043,580.328,242.135,1.95572
44,0.0044,581.479,245.622,1.95563
45,0.0045,582.62,249.07,1.95554
46,0.0046,583.733,252.479,1.95545
47,0.0047,584.842,255.853,1.95536
48,0.0048,585.942,259.192,1.95527
49,0.0049,587.034,262.498,1.95518
50,0.005,588.118,265.772,1.95509
51,0.0051,589.191,269.014,1.955
52,0.0052,590.254,272.223,1.95491
53,0.0053,591.305,275.402,1.95482
54,0.0054,592.342,278.55,1.95473
55,0.0055,593.357,281.665,1.95465
56,0.0056,594.378,284.756,1.95456
57,0.0057,595.387,287.818,1.95447
58,0.0058,596.389,290.853,1.95438
59,0.0059,597.376,293.86,1.9543
60,0.006,598.356,296.842,1.95421
61,0.0061,599.333,299.8,1.95412
62,0.0062,600.298,302.731,1.95404
63,0.0063,601.252,305.638,1.95395
64,0.0064,602.203,308.521,1.95387
65,0.0065,603.134,311.378,1.95378
66,0.0066,604.07,314.216,1.9537
67,0.0067,604.996,317.031,1.95361
68,0.0068,605.914,319.823,1.95353
69,0.0069,606.823,322.593,1.95344
70,0.007,607.726,325.342,1.95336
71,0.0071,608.621,328.07,1.95327
72,0.0072,609.51,330.778,1.95319
73,0.0073,610.391,333.465,1.95311
74,0.0074,611.27,336.134,1.95302
75,0.0075,612.136,338.781,1.95294
76,0.0076,613.003,341.412,1.95286
77,0.0077,613.85,344.018,1.95278
78,0.0078,614.695,346.608,1.95269
79,0.0079,615.54,349.182,1.95261
80,0.008,616.375,351.737,1.95253
81,0.0081,617.21,354.276,1.95245
82,0.0082,618.023,356.791,1.95237
83,0.0083,618.828,359.289,1.95229
84,0.0084,619.644,361.776,1.95221
85,0.0085,620.442,364.242,1.95213
86,0.0086,621.237,366.692,1.95205
87,0.0087,622.036,369.13,1.95197
88,0.0088,622.815,371.546,1.95189
89,0.0089,623.59,373.946,1.95181
90,0.009,624.374,376.338,1.95173
91,0.0091,625.136,378.707,1.95165
92,0.0092,625.898,381.063,1.95157
93,0.0093,626.667,383.409,1.95149
94,0.0094,627.42,385.736,1.95142
95,0.0095,628.174,388.052,1.95134
96,0.0096,628.927,390.355,1.95126
97,0.0097,629.677,392.644,1.95118
98,0.0098,630.408,394.913,1.95111
99,0.0099,631.139,397.17,1.95103
100,0.01,631.87,399.417,1.95095
101,0.0101,632.603,401.652,1.95087
102,0.0102,633.319,403.869,1.9508
103,0.0103,634.028,406.071,1.95072
104,0.0104,634.736,408.262,1.95065
105,0.0105,635.448,410.445,1.95057
106,0.0106,636.154,412.613,1.95049
107,0.0107,636.845,414.764,1.95042
108,0.0108,637.524,416.899,1.95034
109,0.0109,638.207,419.026,1.95027
110,0.011,638.9,421.146,1.95019
111,0.0111,639.58,423.252,1.95012
112,0.0112,640.255,425.344,1.95004
113,0.0113,640.921,427.423,1.94997
114,0.0114,641.591,429.494,1.9499
115,0.0115,642.266,431.558,1.94982
116,0.0116,642.923,433.604,1.94975
117,0.0117,643.586,435.644,1.94967
118,0.0118,644.239,437.669,1.9496
119,0.0119,644.889,439.684,1.94953
120,0.012,645.543,441.692,1.94946
121,0.0121,646.192,443.688,1.94938
122,0.0122,646.834,445.672,1.94931
123,0.0123,647.469,447.643,1.94924
124,0.0124,648.093,449.6,1.94917
125,0.0125,648.712,451.546,1.94909
126,0.0126,649.337,453.487,1.94902
127,0.0127,649.968,455.423,1.94895
128,0.0128,650.588,457.344,1.94888
129,0.0129,651.208,459.257,1.94881
130,0.013,651.809,461.152,1.94874
131,0.0131,652.411,463.039,1.94867
132,0.0132,653.011,464.918,1.9486
133,0.0133,653.617,466.792,1.94852
134,0.0134,654.226,468.661,1.94845
135,0.0135,654.827,470.517,1.94838
136,0.0136,655.423,472.362,1.94831
137,0.0137,656.009,474.195,1.94824
138,0.0138,656.589,476.016,1.94817
139,0.0139,657.162,477.825,1.94811
140,0.014,657.737,479.63,1.94804
141,0.0141,658.319,481.431,1.94797
142,0.0142,658.903,483.226,1.9479
143,0.0143,659.48,485.01,1.94783
144,0.0144,660.053,486.784,1.94776
145,0.0145,660.616,488.545,1.94769
146,0.0146,661.16,490.289,1.94762
147,0.0147,661.726,492.039,1.94756
148,0.0148,662.292,493.782,1.94749
149,0.0149,662.858,495.519,1.94742
150,0.015,663.419,497.247,1.94735
151,0.0151,663.976,498.964,1.94728
152,0.0152,664.528,500.673,1.94722
153,0.0153,665.074,502.371,1.94715
154,0.0154,665.615,504.058,1.94708
155,0.0155,666.148,505.735,1.94702
156,0.0156,666.667,507.398,1.94695
157,0.0157,667.2,509.063,1.94688
158,0.0158,667.736,510.723,1.94682
159,0.0159,668.273,512.379,1.94675
160,0.016,668.806,514.025,1.94668
